"id","pessoajuridica","poder","tipojurisdicionado_fk","localidade_fk","nome","codigo_sagres","previdenciario","municipio_importacao","tramita_id","cancelled","esfera"
312,312,1,5,5566,"Fundação de Coloniz. e Desenv. Agrário do Estado da Paraíba","0",FALSE,"Paraíba",312,FALSE,2
321,321,1,5,5566,"Fundação Instituto de Planejamento da Paraíba","0",FALSE,"Paraíba",321,FALSE,2
326,326,1,5,5566,"Fundação Miguel Mota","0",FALSE,"Paraíba",326,FALSE,2
333,333,1,5,5566,"Fundação Social do Trabalho","0",FALSE,"Paraíba",333,FALSE,2
465,465,1,7,5566,"Gabinete do Governador","0",FALSE,"Paraíba",465,FALSE,2
469,469,1,7,5566,"Hemocentro Regional de Campina Grande","0",FALSE,"Paraíba",469,FALSE,2
475,475,1,7,5566,"Hospital Regional de Picuí","0",FALSE,"Paraíba",475,FALSE,2
577,577,1,11,5566,"Ouvidoria do TCE","0",FALSE,"Paraíba",577,FALSE,2
583,583,1,11,5566,"Poder Judiciário do Estado","0",FALSE,"Paraíba",583,FALSE,2
1,1,1,11,5566,"* ORIGEM NÃO CADASTRADA","0",FALSE,"Paraíba",1,FALSE,2
3,3,1,2,5566,"Agência de Águas, Irrigação e Saneamento do Estado","0",FALSE,"Paraíba",3,FALSE,2
6,6,1,2,5566,"Agência Estadual de Energia Elétrica da Paraíba","0",FALSE,"Paraíba",6,FALSE,2
487,487,1,2,5566,"Instituto de Planejamento do Estado da Paraíba","0",FALSE,"Paraíba",487,TRUE,2
350,350,1,6,5566,"Fundo de Proteção ao Meio Ambiente","0",FALSE,"Paraíba",350,TRUE,2
352,352,1,6,5566,"Fundo de Urbanização","0",FALSE,"Paraíba",352,TRUE,2
356,356,1,6,5566,"Fundo Especial de Obras Públicas do Estado","0",FALSE,"Paraíba",356,TRUE,2
559,559,1,2,5566,"Junta Comercial do Estado da Paraíba","0",FALSE,"Paraíba",559,FALSE,2
850,850,1,13,5566,"Secretaria de Estado do Turismo e do Desenvolvimento Econômico","0",FALSE,"Paraíba",850,FALSE,2
888,888,5,14,5566,"Tribunal de Contas","0",FALSE,"Paraíba",888,FALSE,2
15674,15674,1,13,5566,"Secretaria de Estado da Cultura","0",FALSE,"Paraíba",15674,FALSE,2
294,294,1,13,5566,"Encargos Gerais do Estado","0",FALSE,"Paraíba",294,FALSE,2
15,15,1,10,5566,"Banco do Estado da Paraíba - Crédito Imobiliário S/A","0",FALSE,"Paraíba",15,FALSE,2
304,304,1,5,5566,"Fundação Casa do Estudante do Estado da Paraíba","0",FALSE,"Paraíba",304,FALSE,2
816,816,1,2,5566,"Rádio Tabajara - Superintendência de Radiodifusão","0",FALSE,"Paraíba",816,FALSE,2
579,579,1,10,5566,"PB-TUR Hotéis S/A","0",FALSE,"Paraíba",579,FALSE,2
310,310,1,5,5566,"Fundação de Apoio à Pesquisa do Estado da Paraíba","0",FALSE,"Paraíba",310,FALSE,2
317,317,1,5,5566,"Fundação Ernani Sátyro","0",FALSE,"Paraíba",317,FALSE,2
664,664,1,9,1387,"Prefeitura Municipal de Esperança","201078",FALSE,"Esperança",664,FALSE,1
665,665,1,9,1414,"Prefeitura Municipal de Fagundes","201079",FALSE,"Fagundes",665,FALSE,1
667,667,1,9,1430,"Prefeitura Municipal de Gado Bravo","201081",FALSE,"Gado Bravo",667,FALSE,1
668,668,1,9,1404,"Prefeitura Municipal de Guarabira","201082",FALSE,"Guarabira",668,FALSE,1
669,669,1,9,1421,"Prefeitura Municipal de Gurinhém","201083",FALSE,"Gurinhém",669,FALSE,1
670,670,1,9,1363,"Prefeitura Municipal de Gurjão","201084",FALSE,"Gurjão",670,FALSE,1
671,671,1,9,1306,"Prefeitura Municipal de Ibiara","201085",FALSE,"Ibiara",671,FALSE,1
672,672,1,9,1294,"Prefeitura Municipal de Igaracy","201086",FALSE,"Igaracy",672,FALSE,1
673,673,1,9,1316,"Prefeitura Municipal de Imaculada","201087",FALSE,"Imaculada",673,FALSE,1
674,674,1,9,1422,"Prefeitura Municipal de Ingá","201088",FALSE,"Ingá",674,FALSE,1
675,675,1,9,1423,"Prefeitura Municipal de Itabaiana","201089",FALSE,"Itabaiana",675,FALSE,1
676,676,1,9,1307,"Prefeitura Municipal de Itaporanga","201090",FALSE,"Itaporanga",676,FALSE,1
677,677,1,9,1438,"Prefeitura Municipal de Itapororoca","201091",FALSE,"Itapororoca",677,FALSE,1
678,678,1,9,1424,"Prefeitura Municipal de Itatuba","201092",FALSE,"Itatuba",678,FALSE,1
679,679,1,9,1439,"Prefeitura Municipal de Jacaraú","201093",FALSE,"Jacaraú",679,FALSE,1
680,680,1,9,1246,"Prefeitura Municipal de Jericó","201094",FALSE,"Jericó",680,FALSE,1
682,682,1,9,1425,"Prefeitura Municipal de Juarez Távora","201096",FALSE,"Juarez Távora",682,FALSE,1
683,683,1,9,1333,"Prefeitura Municipal de Juazeirinho","201097",FALSE,"Juazeirinho",683,FALSE,1
685,685,1,9,1446,"Prefeitura Municipal de Juripiranga","201099",FALSE,"Juripiranga",685,FALSE,1
686,686,1,9,1317,"Prefeitura Municipal de Juru","201100",FALSE,"Juru",686,FALSE,1
687,687,1,9,1247,"Prefeitura Municipal de Lagoa","201101",FALSE,"Lagoa",687,FALSE,1
688,688,1,9,1405,"Prefeitura Municipal de Lagoa de Dentro","201102",FALSE,"Lagoa de Dentro",688,FALSE,1
689,689,1,9,1415,"Prefeitura Municipal de Lagoa Seca","201103",FALSE,"Lagoa Seca",689,FALSE,1
690,690,1,9,1271,"Prefeitura Municipal de Lastro","201104",FALSE,"Lastro",690,FALSE,1
691,691,1,9,1344,"Prefeitura Municipal de Livramento","201105",FALSE,"Livramento",691,FALSE,1
5,5,1,2,5566,"Agência de Regulação do Estado da Paraíba - ARPB","0",FALSE,"Paraíba",5,FALSE,2
568,568,1,8,5566,"Loteria do Estado da Paraíba","0",FALSE,"Paraíba",568,FALSE,2
4487,4487,1,13,5566,"Corpo de Bombeiros Militar","0",FALSE,"Paraíba",4487,FALSE,2
466,466,1,13,5566,"Gabinete do Vice-Governador","0",FALSE,"Paraíba",466,FALSE,2
15672,15672,1,13,5566,"Secretaria de Estado da Mulher e da Diversidade Humana","0",FALSE,"Paraíba",15672,FALSE,2
831,831,1,13,5566,"Secretaria de Estado do Acompanhamento da Ação Governamental","0",FALSE,"Paraíba",831,FALSE,2
244,244,1,13,5566,"Casa Civil do Governador","0",FALSE,"Paraíba",244,FALSE,2
303,303,1,5,5566,"Fundação Casa de José Américo","0",FALSE,"Paraíba",303,FALSE,2
565,565,1,10,5566,"Laboratório Industrial Farmacêutico do Estado da Paraíba S/A","0",FALSE,"Paraíba",565,FALSE,2
293,293,1,13,5566,"Encargos Gerais da Secretaria da Finanças","0",FALSE,"Paraíba",293,FALSE,2
292,292,1,10,5566,"Empresa Rádio Tabajara da Paraíba S/A (Em Liquidação)","0",FALSE,"Paraíba",292,FALSE,2
340,340,1,6,5566,"Fundo de Combate e Erradicação da Pobreza","0",FALSE,"Paraíba",340,FALSE,2
344,344,1,6,5566,"Fundo de Desenvolvimento do Estado","0",FALSE,"Paraíba",344,FALSE,2
354,354,1,6,5566,"Fundo Especial da Defensoria Pública","0",FALSE,"Paraíba",354,FALSE,2
355,355,1,6,5566,"Fundo Especial de Desenv. Recursos Humanos da ESPEP","0",FALSE,"Paraíba",355,FALSE,2
341,341,1,6,5566,"Fundo de Desenvolvimento Agropecuário da Paraíba","0",FALSE,"Paraíba",341,FALSE,2
346,346,1,6,5566,"Fundo de Incentivo à Cultura Augusto dos Anjos","0",FALSE,"Paraíba",346,FALSE,2
358,358,1,6,5566,"Fundo Especial do Corpo de Bombeiros","0",FALSE,"Paraíba",358,FALSE,2
363,363,1,6,5566,"Fundo Estadual de Ciência e Tecnologia","0",FALSE,"Paraíba",363,FALSE,2
366,366,1,6,5566,"Fundo Estadual de Recursos Hídricos","0",FALSE,"Paraíba",366,FALSE,2
335,335,1,6,5566,"Fundo de Apoio ao Desenvolvimento Industrial da Paraíba","0",FALSE,"Paraíba",335,FALSE,2
368,368,1,6,5566,"Fundo Industrialização do Estado da Paraíba","0",FALSE,"Paraíba",368,FALSE,2
351,351,1,6,5566,"Fundo de Recuperação dos Presidiários","0",FALSE,"Paraíba",351,FALSE,2
357,357,1,6,5566,"Fundo Especial de Segurança Pública","0",FALSE,"Paraíba",357,FALSE,2
550,550,1,8,5566,"Instituto do Patrimônio Histórico e Artístico da Paraíba","0",FALSE,"Paraíba",550,FALSE,2
549,549,1,2,5566,"Instituto de Terras e Planejamento Agrícola da Paraíba","0",FALSE,"Paraíba",549,FALSE,2
3254,3254,1,6,5566,"Fundo de Apoio ao Desenvolvimento da Administração Tributária","0",FALSE,"Paraíba",3254,FALSE,2
364,364,1,6,5566,"Fundo Estadual de Defesa dos Direitos do Consumidor","0",FALSE,"Paraíba",364,FALSE,2
362,362,1,6,5566,"Fundo Estadual de Assistência Social","0",FALSE,"Paraíba",362,FALSE,2
361,361,1,6,5566,"Fundo Estadual da Criança  e do Adolescente","0",FALSE,"Paraíba",361,FALSE,2
365,365,1,6,5566,"Fundo Estadual de Proteção do Meio Ambiente","0",FALSE,"Paraíba",365,FALSE,2
360,360,3,6,5566,"Fundo Especial do Poder Judiciário","0",FALSE,"Paraíba",360,FALSE,2
53408,53408,4,6,5566,"Fundo Especial de Proteção dos Bens, Valores e Interesses Difusos","0",FALSE,"Paraíba",53408,FALSE,2
359,359,4,6,5566,"Fundo Especial do Ministério Público","0",FALSE,"Paraíba",359,FALSE,2
345,345,5,6,5566,"Fundo de Fiscalização Orçamentária e Financeira Municipal","0",FALSE,"Paraíba",345,FALSE,2
